regiao,uf,cidade,sexo,faixa_etaria,ano_abertura,mes_abertura,data_abertura,data_resposta,tempo_resposta,nome_fantasia,segmento_de_mercado,area,assunto,grupo_problema,problema,como_comprou_contratou,procurou_empresa,respondida,situacao,avaliacao_reclamacao,nota_do_consumidor,resolvida,contexto_ia,resumo_ia,categoria_ia,sentimento_ia,urgencia_ia
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2025,5,2025-05-06,2025-05-13,7.0,Itapeva Recuperação de Créditos,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Negativação indevida - desconhece motivo e/ou fornecedor,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Negativação indevida - desconhece motivo e/ou fornecedor | Grupo: Cobrança / Contestação,Negativação indevida sem conhecimento do motivo ou fornecedor.,Cobrança,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 21 a 30 anos,2024,6,2024-06-05,2024-06-11,6.0,Vivo - Telefônica,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Contrato / Oferta,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Produtos de Telefonia e Informática | Assunto: Demais aparelhos de comunicação | Problema: Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento) | Grupo: Contrato / Oferta,Cliente reclama sobre a recusa da empresa em cancelar sua compra fora do prazo de arrependimento.,Cancelamento,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 61 a 70 anos,2023,6,2023-06-19,2023-06-26,7.0,Facta Financeira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Telefone,N,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Não entrega do contrato ou documentação relacionada ao serviço | Grupo: Contrato / Oferta,Cliente não recebeu o contrato ou documentação relacionada ao crédito pessoal.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2025,5,2025-05-25,2025-06-04,10.0,Universidade Estácio de Sá,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Contrato / Oferta,Dificuldade para rescindir o contrato / cancelar o serviço,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Educação | Assunto: Superior ( Graduação e Pós ) | Problema: Dificuldade para rescindir o contrato / cancelar o serviço | Grupo: Contrato / Oferta,Dificuldade para rescindir ou cancelar um contrato de superioridade acadêmica.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2025,3,2025-03-10,2025-03-18,8.0,Vivo - Telefônica,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: Internet Fixa | Problema: Não envio / atraso do boleto ou fatura / dificuldade com o pagamento | Grupo: Cobrança / Contestação,Atrás de pagamento da conta de internet.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2025,1,2025-01-06,2025-01-06,0.0,Cartões Renner (Realize CFI),"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dados Pessoais e Privacidade,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação | Grupo: Dados Pessoais e Privacidade,Dados pessoais do cartão estão desatualizados.,Dados Pessoais e Privacidade,Negativo,Alta
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2024,1,2024-01-10,,,Itaú Consignado,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,N,Cancelada,,,0,"Área: Serviços Financeiros | Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS) | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",Cobrança irregular de tarifas e taxas no cartão de crédito consignado.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2024,12,2024-12-26,,,Banco Digio,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Não comprei / contratei,S,N,Cancelada,,,0,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores | Grupo: Cobrança / Contestação,Atrás de pagamento com atraso.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2025,1,2025-01-30,2025-02-07,8.0,Banco Itaú Unibanco,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Loja física,S,S,Finalizada avaliada,Resolvida,2.0,1,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: SAC - Dificuldade para cancelar o serviço | Grupo: Atendimento / SAC,Dificuldade em cancelar o serviço do cartão.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,7,2023-07-13,2023-07-20,7.0,Banco Santander,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Contrato / Oferta,Ligações indesejadas de telemarketing (0303),Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Atendimento Bancário | Problema: Ligações indesejadas de telemarketing (0303) | Grupo: Contrato / Oferta,Recebeu ligações indesejadas de telemarketing.,Atendimento,Negativo,Baixa
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2023,1,2023-01-25,2023-02-01,7.0,Kovr Seguradora (antiga Invest Seguradora),"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro de Vida,Contrato / Oferta,Negativa de cobertura / Demora injustificada ou Divergência na indenização,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Serviços Financeiros | Assunto: Seguro de Vida | Problema: Negativa de cobertura / Demora injustificada ou Divergência na indenização | Grupo: Contrato / Oferta,A cliente está sendo negativamente afetada pela demora injustificada na cobertura do seu seguro de vida.,Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2024,9,2024-09-27,2024-10-02,5.0,Claro Residencial,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Serviços Financeiros,Demais Seguros,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Serviços Financeiros | Assunto: Demais Seguros | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,Cliente alega que a oferta de seguro não foi cumprida e que o serviço não foi fornecido.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2025,7,2025-07-14,,,Caixa Econômica Federal,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Atendimento / SAC,SAC - Dificuldade de contato / acesso,Loja física,S,N,Cancelada,,,0,Área: Serviços Financeiros | Assunto: Conta corrente / Salário / Poupança /Conta Aposentadoria | Problema: SAC - Dificuldade de contato / acesso | Grupo: Atendimento / SAC,Dificuldade em entrar em contato com o SAC.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2024,1,2024-01-24,2024-02-02,9.0,Netshoes,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Demais Produtos | Assunto: Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc) | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta",A cliente reclama que a oferta de vestuário não foi cumprida.,Venda Enganosa,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2024,9,2024-09-14,2024-09-23,9.0,Tim,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Vício de Qualidade,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Telecomunicações | Assunto: Internet Móvel | Problema: Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda) | Grupo: Vício de Qualidade",O cliente está enfrentando problemas com a qualidade do sinal da internet móvel.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2023,9,2023-09-15,2023-09-18,3.0,Samsung - Loja Online,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Televisão,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada avaliada,Não Resolvida,3.0,1,Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Televisão | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,A cliente reclama que a oferta de televisão não foi cumprida e que ela foi vendida com características diferentes das descritas na publicidade.,Contrato,Muito Negativo,Media
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2023,11,2023-11-01,2023-11-10,9.0,Vivo - Telefônica,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,4.0,1,Área: Telecomunicações | Assunto: Pacote de Serviços ( Combo ) | Problema: SAC - Demanda não resolvida / não respondida / respondida após o prazo | Grupo: Atendimento / SAC,Demanda não resolvida no SAC.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2025,4,2025-04-15,2025-04-25,10.0,Banco Bradesco,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Financiamentos de Veículos / Leasing | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",Cliente reclama sobre cobrança de tarifas e taxas não previstas no financiamento de veículos.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,9,2024-09-06,2024-09-16,10.0,CEEE Distribuição,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,N,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Água, Energia, Gás | Assunto: Energia Elétrica | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",Há dúvida sobre cobrança de tarifas e taxas.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,10,2023-10-11,2023-10-20,9.0,Casasbahia.com,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Entrega do Produto,Produto entregue incompleto / diferente do  pedido,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Demais Produtos | Assunto: Móveis e Colchões | Problema: Produto entregue incompleto / diferente do  pedido | Grupo: Entrega do Produto,Móvel entregue incompleto ou diferente do pedido.,Entrega,Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2023,11,2023-11-12,2023-11-13,1.0,Mondial,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Loja física,N,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc ) | Problema: Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia | Grupo: Vício de Qualidade",Produto danificado ou não funciona após compra.,Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2025,7,2025-07-24,2025-07-29,5.0,Banricoop,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Telefone,S,S,Finalizada avaliada,Não Resolvida,2.0,1,"Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Cobrança submetendo a ofensa, constrangimento ou ameaça | Grupo: Cobrança / Contestação",Cliente está sendo cobrado de forma agressiva.,Cobrança,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,7,2024-07-17,,,Banco Safra,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Não comprei / contratei,N,N,Cancelada,,,0,Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Não entrega do contrato ou documentação relacionada ao serviço | Grupo: Contrato / Oferta,Cliente não recebeu o contrato ou documentação relacionada ao crédito pessoal.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,3,2024-03-09,2024-03-13,4.0,Banco Pan ,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: SAC - Dificuldade para cancelar o serviço | Grupo: Atendimento / SAC,Dificuldade em cancelar o serviço do cartão.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2024,12,2024-12-06,2024-12-13,7.0,C6 Bank,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Internet,N,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Conta corrente / Salário / Poupança /Conta Aposentadoria | Problema: Cobrança por serviço/produto não contratado / não reconhecido / não solicitado | Grupo: Cobrança / Contestação,Cliente reclama sobre cobrança de serviços financeiros não solicitados.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2023,4,2023-04-06,2023-04-15,9.0,Claro Celular,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: Pacote de Serviços ( Combo ) | Problema: Cobrança em duplicidade / Cobrança referente a pagamento já efetuado | Grupo: Cobrança / Contestação,A empresa cobrou em duplicidade por um serviço que o cliente já pagou.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2024,10,2024-10-25,2024-11-04,10.0,Sicredi,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Conta corrente / Salário / Poupança /Conta Aposentadoria | Problema: SAC - Dificuldade para cancelar o serviço | Grupo: Atendimento / SAC,Dificuldade em cancelar conta corrente.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,9,2024-09-30,2024-10-15,8.0,Facebook / Instagram,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços ,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Demais Serviços  | Assunto: Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc) | Problema: Dificuldade de contato / demora no atendimento | Grupo: Atendimento / SAC",Dificuldade de contato com o serviço.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2023,8,2023-08-21,,,123 Milhas,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Vício de Qualidade,Cancelamento de voo,Internet,N,N,Finalizada avaliada,Não Resolvida,1.0,1,Área: Transportes | Assunto: Aéreo | Problema: Cancelamento de voo | Grupo: Vício de Qualidade,Cancelamento de voo sem aviso prévio.,Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,12,2023-12-25,2023-12-27,2.0,123 Milhas,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Transportes | Assunto: Aéreo | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,Cliente alega que a oferta de voo não foi cumprida e que o serviço não foi fornecido.,Produto,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 21 a 30 anos,2023,5,2023-05-09,2023-05-11,2.0,Latam Airlines (Tam),Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,Cancelamento de voo,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Transportes | Assunto: Aéreo | Problema: Cancelamento de voo | Grupo: Vício de Qualidade,Cancelamento de voo sem aviso prévio.,Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 61 a 70 anos,2025,6,2025-06-21,2025-06-30,9.0,Banco Digio,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,Renegociação / parcelamento de dívida,Internet,N,S,Finalizada avaliada,Não Resolvida,3.0,1,Área: Serviços Financeiros | Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS) | Problema: Renegociação / parcelamento de dívida | Grupo: Cobrança / Contestação,Dívida com atraso e necessidade de renegociação.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2025,5,2025-05-21,2025-05-28,5.0,Nescafé Dolce Gusto,Fabricantes - Produtos Alimentícios,Alimentos,Bebidas,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Alimentos | Assunto: Bebidas | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,Consumidor alega que a empresa não cumpriu com a oferta de bebidas.,Venda Enganosa,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 51 a 60 anos,2023,8,2023-08-16,,,C6 Bank,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Internet,S,N,Cancelada,,,0,"Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas) | Grupo: Cobrança / Contestação",Dúvida sobre cálculo de juros e saldo devedor.,Cobrança,Neutro,Media
S ,RS,Porto Alegre,F,mais de 70 anos,2023,2,2023-02-14,2023-02-17,3.0,Facta Seguradora,"Seguros, Capitalização e Previdência",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,SMS / Mensagem de texto,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS) | Problema: Cobrança por serviço/produto não contratado / não reconhecido / não solicitado | Grupo: Cobrança / Contestação,Cobrança indevida por serviços financeiros não contratados.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 21 a 30 anos,2025,5,2025-05-13,2025-05-21,8.0,QuintoAndar,"Construtoras, Incorporadoras e Imobiliárias",Habitação,Aluguel de Imóvel,Contrato / Oferta,Imóvel entregue incompleto / diferente do contratado,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Habitação | Assunto: Aluguel de Imóvel | Problema: Imóvel entregue incompleto / diferente do contratado | Grupo: Contrato / Oferta,Imóvel entregue com deficiências.,Produto,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2024,9,2024-09-25,2024-09-27,2.0,Magazine Luiza - Loja Online,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Produtos de Telefonia e Informática | Assunto: Aparelho celular | Problema: Dificuldade de contato / demora no atendimento | Grupo: Atendimento / SAC,Dificuldade de contato com o atendimento do SAC.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,4,2023-04-10,2023-04-20,10.0,TAP Air Portugal,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Transportes | Assunto: Aéreo | Problema: Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações) | Grupo: Vício de Qualidade",Bagagem foi extravagiada ou sofreu avaria.,Reembolso,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 51 a 60 anos,2024,1,2024-01-02,2024-01-10,8.0,HP Brasil,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Contrato / Oferta,Produto falsificado,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,"Área: Produtos de Telefonia e Informática | Assunto: Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc) | Problema: Produto falsificado | Grupo: Contrato / Oferta",Produto de acessório de telefonia e informática é produto falso.,Contrato / Oferta,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2023,4,2023-04-07,2023-04-17,10.0,Banco Itaú Unibanco,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Serviço de pagamento online/ via celular/ maquininha | Problema: Cobrança por serviço/produto não contratado / não reconhecido / não solicitado | Grupo: Cobrança / Contestação,Cliente reclama sobre cobrança indevida por serviços financeiros não solicitados.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 21 a 30 anos,2023,10,2023-10-22,2023-10-27,5.0,Bradesco Cartões,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: SAC - Demanda não resolvida / não respondida / respondida após o prazo | Grupo: Atendimento / SAC,Demanda de atendimento não resolvida no SAC.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2025,1,2025-01-09,2025-01-15,6.0,Booking.com,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Hospedagem,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Turismo/Viagens | Assunto: Hospedagem | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,A empresa não cumpriu a oferta de hospedagem prometida.,Produto,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2023,7,2023-07-28,2023-08-07,10.0,Oi Fixo,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Fixa,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Telefone,N,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Telecomunicações | Assunto: Telefonia Fixa | Problema: Negativação indevida (SPC, Serasa, SCPC etc) | Grupo: Cobrança / Contestação",Problema de negativação indevida em conta de telefonia fixa.,Cobrança,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2025,6,2025-06-20,2025-06-30,10.0,Banco Agibank (Agiplan),"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS) | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",Cobrança irregular de tarifas e taxas no cartão de crédito consignado.,Cobrança,Negativo,Alta
